id_imovel,id_regiao,metragem,quartos,banheiros,ano_entrega,valor_inicial
92,1,48,3,1,2015,98132
93,1,76,2,2,2013,83361
94,1,75,3,1,2010,94433
95,1,61,2,1,2013,95654
96,1,76,2,1,2011,82427
97,1,81,2,1,2010,89956
98,1,80,2,2,2013,93637
99,1,73,3,2,2014,89743
100,1,84,2,1,2015,81973
101,2,58,2,1,2011,127343
102,2,56,2,1,2010,146175
103,2,71,3,2,2010,139524
104,2,59,3,2,2010,128881
105,2,88,3,1,2013,125297
106,2,52,2,1,2012,145688
107,2,54,2,1,2012,114679
108,2,83,3,2,2010,147303
109,2,74,3,2,2014,129928
110,2,79,3,1,2014,142361
111,2,47,3,2,2010,138313
112,2,50,2,2,2014,125002
113,2,47,3,2,2012,121481
114,2,56,3,2,2010,148360
115,2,75,3,2,2012,132803
116,2,87,2,2,2013,116855
117,2,89,3,2,2014,142471
118,2,47,2,2,2012,139807
119,2,65,3,1,2015,117597
120,2,79,3,1,2011,140276
121,2,78,3,2,2010,133709
122,2,58,2,2,2013,127501
123,2,89,2,1,2015,141766
124,2,83,2,2,2014,125682
125,2,45,3,1,2011,146192
126,2,52,2,1,2013,140241
127,2,90,3,2,2013,129127
128,2,75,3,1,2013,125973
129,2,57,2,1,2012,149280
130,2,71,3,1,2012,132274
131,2,64,3,1,2013,148465
132,2,79,3,2,2014,141741
133,2,79,3,2,2011,134720
134,2,89,3,1,2013,125650
135,2,47,3,2,2013,130852
136,2,87,3,1,2011,119968
137,2,77,3,1,2013,148678
138,2,51,3,1,2015,144468
139,2,54,2,1,2013,136868
140,2,61,3,1,2012,132187
141,2,88,3,2,2015,144971
142,2,90,2,1,2011,141978
143,2,85,2,1,2013,128833
144,2,51,3,1,2015,116586
145,2,64,2,2,2010,111897
146,2,63,3,2,2011,133492
147,2,60,3,1,2011,144810
148,2,56,3,1,2013,115175
149,2,82,2,2,2015,119379
150,2,61,3,1,2013,140118
151,2,63,2,1,2013,145821
152,2,67,3,2,2015,148507
153,2,61,3,1,2013,139939
154,2,75,2,2,2014,116989
155,2,67,3,2,2010,147670
156,2,87,3,1,2014,135939
157,2,88,3,2,2011,113214
158,2,83,2,1,2014,133089
159,2,61,2,1,2012,118963
160,2,73,3,1,2010,112186
161,2,63,3,1,2011,131411
162,2,53,3,2,2011,145350
163,2,61,3,2,2010,141578
164,2,74,2,1,2015,114934
165,2,88,3,1,2013,136044
166,2,45,2,2,2012,127331
167,2,88,3,2,2010,127181
168,2,88,3,1,2014,125323
169,2,80,2,1,2015,131496
170,2,74,3,1,2011,129804
171,2,47,3,2,2010,112438
172,2,51,2,2,2013,125387
173,2,68,3,1,2013,145402
174,2,86,3,2,2012,116489
175,2,47,2,2,2013,134283
176,2,60,2,2,2014,133768
177,2,86,2,2,2012,133506
178,2,57,3,1,2015,118005
179,2,58,2,1,2012,149134
180,2,60,2,1,2014,118252
181,2,58,2,1,2012,148429
182,2,54,2,2,2011,149058
183,2,53,3,1,2010,145403
184,2,87,2,1,2012,111689
185,2,60,3,1,2011,148591
186,2,61,2,2,2014,113434
187,2,52,3,2,2012,114165
188,2,77,2,2,2014,148906
189,2,59,3,2,2015,112841
190,2,46,3,2,2013,113986
191,2,88,3,2,2010,117075
192,2,50,2,1,2011,131109
193,2,62,3,2,2014,148362
194,2,78,3,2,2010,129326
195,2,89,2,2,2013,117498
196,2,59,3,2,2013,137119
197,2,71,3,2,2012,116231
198,2,87,3,1,2015,126704
199,2,75,2,1,2010,114399
200,2,72,3,1,2014,116328
201,3,48,3,1,2013,256869
202,3,67,2,2,2014,235435
203,3,64,2,1,2011,226090
204,3,87,2,1,2012,243201
205,3,80,2,2,2014,228176
206,3,59,2,2,2010,236244
207,3,56,3,2,2012,215818
208,3,45,2,2,2010,203777
209,3,54,2,1,2013,184018
210,3,71,3,1,2012,239460
211,3,64,2,1,2011,222517
212,3,55,2,2,2013,186522
213,3,87,3,2,2013,235576
214,3,62,2,2,2013,208255
215,3,52,3,2,2010,217125
216,3,59,2,1,2011,231807
217,3,64,2,2,2012,207686
218,3,65,2,2,2015,195726
219,3,72,2,2,2014,203028
220,3,90,3,1,2013,210161
221,3,47,2,2,2010,237176
222,3,65,3,2,2015,255465
223,3,85,3,1,2013,234747
224,3,46,2,2,2015,222568
225,3,68,3,1,2011,191551
226,3,72,3,1,2013,257184
227,3,64,2,2,2011,224500
228,3,49,2,1,2012,246910
229,3,67,2,1,2011,199358
230,3,61,2,1,2015,205856
231,3,49,3,2,2014,203218
232,3,82,3,2,2011,238838
233,3,73,3,2,2015,188950
234,3,64,2,2,2014,216002
235,3,49,3,2,2010,220685
236,3,48,3,1,2015,228331
237,3,50,3,2,2014,257867
238,3,80,3,1,2012,185376
239,3,83,2,1,2013,242341
240,3,51,2,1,2010,225015
241,3,60,3,1,2012,237377
242,3,68,3,2,2012,217079
243,3,88,2,2,2010,258366
244,3,66,3,2,2012,192387
245,3,87,2,2,2010,258997
246,3,82,3,2,2015,198537
247,3,89,2,1,2012,231374
248,3,80,3,1,2015,229372
249,3,89,2,2,2014,248995
250,3,68,3,2,2011,182389
251,3,58,3,1,2011,224791
252,3,53,2,2,2010,200308
253,3,77,2,2,2014,250748
254,3,53,3,1,2011,258282
255,3,56,3,1,2013,201697
256,3,68,3,2,2015,211133
257,3,73,2,2,2013,210671
258,3,57,3,2,2012,228213
259,3,69,3,1,2011,245916
260,3,83,3,1,2015,198140
261,3,75,2,1,2012,228655
262,3,50,3,2,2014,201012
263,3,54,2,1,2013,237340
264,3,67,3,1,2013,183495
265,3,77,2,2,2010,229015
266,3,68,2,2,2010,209430
267,3,90,2,1,2010,223947
268,3,63,2,2,2013,241925
269,3,84,2,1,2012,180688
270,3,58,3,1,2012,199597
271,3,60,2,1,2011,219472
272,3,71,2,1,2013,239914
273,3,83,2,1,2015,250261
274,3,54,3,1,2014,218177
275,3,67,3,1,2015,211531
276,3,87,3,1,2014,191221
277,3,79,2,2,2013,246496
278,3,47,3,2,2015,230709
279,3,46,2,2,2011,226805
280,3,87,3,1,2010,193587
281,3,67,3,1,2015,251567
282,3,74,2,1,2010,242722
283,3,90,2,2,2011,239988
284,3,47,2,2,2012,206144
285,3,77,3,2,2010,232196
286,3,86,3,2,2010,205048
287,3,86,3,1,2012,223506
288,3,72,3,2,2012,232431
289,3,56,3,2,2014,245038
290,3,62,3,1,2013,190828
291,3,83,3,2,2010,203652
292,3,50,3,2,2013,222981
293,3,83,2,2,2012,235851
294,3,73,3,2,2012,185551
295,3,85,2,2,2012,187518
296,3,77,2,1,2014,200969
297,3,88,2,1,2010,237432
298,3,60,3,2,2014,228015
299,3,47,2,2,2012,259310
300,3,68,2,1,2014,238188
